id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,relation_ships,attribute_object,attribute_event
item_12_0,Select,2026-03-20 01:43:49,2026-03-20 01:43:49,2026-03-20 01:57:03,Role Order 1,Sue,45,45,45,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_12'},{'Price': 434},{}
item_12_0,Pick Item,2026-03-20 01:57:03,2026-03-20 01:57:03,2026-03-20 02:09:06,Role Order 2,Bob,45,45,45,1,"[1.0, 0.0, 0.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_12'},{'Price': 434},{}
order_13,Place Order,2026-03-19 19:56:42,2026-03-20 01:02:47,2026-03-20 02:32:00,Role 1,Sue,16,44,45,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,11,['Place Order'],"{'item_13_0', 'item_13_1'}",{},{}
item_13_1,Select,2026-03-20 02:32:00,2026-03-20 02:32:00,2026-03-20 02:38:21,Role Order 1,Sue,47,47,47,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_13'},{'Price': 688},{}
item_13_0,Select,2026-03-20 02:32:00,2026-03-20 02:32:00,2026-03-20 02:44:29,Role Order 1,Pete,47,47,47,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_13'},{'Price': 693},{}
order_14,Place Order,2026-03-19 20:19:04,2026-03-20 02:32:00,2026-03-20 02:44:45,Role 1,Sue,19,47,47,1,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,12,['Place Order'],"{'item_14_0', 'item_14_1'}",{},{}
item_13_1,Pick Item,2026-03-20 02:38:21,2026-03-20 02:38:21,2026-03-20 02:48:40,Role Order 2,Bob,47,47,49,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_13'},{'Price': 688},{}
item_14_0,Select,2026-03-20 02:44:45,2026-03-20 02:44:45,2026-03-20 02:50:55,Role Order 1,Sue,49,49,49,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_14'},{'Price': 82},{}
item_14_1,Select,2026-03-20 02:44:45,2026-03-20 02:44:45,2026-03-20 02:51:49,Role Order 1,Pete,49,49,49,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_14'},{'Price': 844},{}
item_13_0,Pick Item,2026-03-20 02:44:29,2026-03-20 02:48:40,2026-03-20 02:59:16,Role Order 2,Bob,47,49,49,1,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_13'},{'Price': 693},{}
item_14_0,Pick Item,2026-03-20 02:50:55,2026-03-20 02:59:16,2026-03-20 03:10:54,Role Order 2,Bob,49,49,49,1,"[1.0, 0.0, 0.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_14'},{'Price': 82},{}
item_14_1,Pick Item,2026-03-20 02:51:49,2026-03-20 03:10:54,2026-03-20 03:22:26,Role Order 2,Bob,49,49,49,1,"[1.0, 0.0, 0.0, 1.0, 0.0]",1.0,1,"['Select', 'Pick Item']",{'order_14'},{'Price': 844},{}
order_15,Place Order,2026-03-19 20:43:15,2026-03-20 02:44:45,2026-03-20 03:38:47,Role 1,Sue,21,49,49,1,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,12,['Place Order'],"{'item_15_1', 'item_15_0'}",{},{}
order_1,Add Item,2026-03-19 19:56:50,2026-03-20 01:43:49,2026-03-20 03:40:47,Role 1,Pete,16,45,51,1,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,12,"['Place Order', 'Add Item']","{'item_1_1', 'item_1_0', 'item_1_2'}",{},{}
item_15_0,Select,2026-03-20 03:38:47,2026-03-20 03:38:47,2026-03-20 03:47:07,Role Order 1,Sue,51,51,52,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_15'},{'Price': 397},{}
item_15_1,Select,2026-03-20 03:38:47,2026-03-20 03:38:47,2026-03-20 03:48:55,Role Order 1,Pete,51,51,52,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_15'},{'Price': 444},{}
item_1_2,Select,2026-03-20 03:40:47,2026-03-20 03:47:07,2026-03-20 03:56:56,Role Order 1,Sue,52,52,52,2,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,['Select'],{'order_1'},{'Price': 666},{}
item_15_0,Pick Item,2026-03-20 03:47:07,2026-03-20 03:47:07,2026-03-20 03:58:00,Role Order 2,Bob,52,52,52,1,"[1.0, 0.0, 1.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_15'},{'Price': 397},{}
item_15_1,Pick Item,2026-03-20 03:48:55,2026-03-20 03:58:00,2026-03-20 04:10:35,Role Order 2,Bob,52,52,52,1,"[1.0, 0.0, 0.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_15'},{'Price': 444},{}
item_1_2,Pick Item,2026-03-20 03:56:56,2026-03-20 04:10:35,2026-03-20 04:18:42,Role Order 2,Bob,52,52,52,1,"[1.0, 0.0, 0.0, 1.0, 0.0]",1.0,1,"['Select', 'Pick Item']",{'order_1'},{'Price': 666},{}
order_16,Place Order,2026-03-19 20:46:29,2026-03-20 03:40:47,2026-03-20 04:34:40,Role 1,Pete,24,52,52,1,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,13,['Place Order'],"{'item_16_1', 'item_16_0'}",{},{}
item_16_0,Select,2026-03-20 04:34:40,2026-03-20 04:34:40,2026-03-20 04:39:45,Role Order 1,Pete,54,54,54,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_16'},{'Price': 229},{}
item_16_1,Select,2026-03-20 04:34:40,2026-03-20 04:34:40,2026-03-20 04:47:23,Role Order 1,Sue,54,54,54,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_16'},{'Price': 188},{}
item_16_0,Pick Item,2026-03-20 04:39:45,2026-03-20 04:39:45,2026-03-20 04:49:22,Role Order 2,Bob,54,54,54,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_16'},{'Price': 229},{}
item_16_1,Remove Item,2026-03-20 04:47:23,2026-03-20 04:47:23,2026-03-20 04:52:18,Role Order 1,Pete,54,54,54,1,"[1.0, 0.0, 0.5, 1.0, 0.0]",0.5,0,"['Select', 'Remove Item']",{'order_16'},{'Price': 188},{}
order_17,Place Order,2026-03-19 20:55:26,2026-03-20 04:34:40,2026-03-20 05:04:48,Role 1,Pete,25,54,53,1,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,14,['Place Order'],"{'item_17_0', 'item_17_1'}",{},{}
